Date,Observado,RForest
2011-01-01,0.32430422003701304,0.32201951539063617
2011-02-01,0.32144746300640825,0.3197244121517339
2011-03-01,0.5173548206833753,0.5733865393575692
2011-04-01,0.46940989750992934,0.46226188563160564
2011-05-01,0.3181714734507648,0.3170694895174082
2011-06-01,0.0,0.0013066830171314253
2011-07-01,0.2620036831757153,0.26296319257441014
2011-08-01,0.3154462166418884,0.3163211832330594
2011-09-01,0.21715478580843225,0.2128437209868166
2011-10-01,0.06752075270192967,0.06568472068822256
2011-11-01,0.18478500551268406,0.18455806559132473
2011-12-01,0.02377084901549157,0.022609842050233694
2012-01-01,0.2724196054096635,0.2717156153604556
2012-02-01,0.21374461249462118,0.21184375326208754
2012-03-01,0.20934703870291563,0.20943678076868244
2012-04-01,0.16607883500068787,0.164865392561927
2012-05-01,-0.20681801323810597,-0.16287081422151867
2012-06-01,-0.08263631713107386,-0.09203985846100587
2012-07-01,0.028880992806008345,0.03087189070703579
2012-08-01,0.5809527975851975,0.5993801331361003
2012-09-01,0.47712662775423414,0.47808018695481924
2012-10-01,0.2696794580438582,0.26830019663027294
2012-11-01,-0.16793444944266916,-0.15117535096231136
2012-12-01,-0.012108160467717304,0.000501342083175122
2013-01-01,0.19807889421808506,0.19828680046260497
2013-02-01,0.542992675210101,0.5494780292384592
2013-03-01,-0.28119191025899753,-0.33026107136557675
2013-04-01,-0.2087979266581197,-0.1597865667267226
2013-05-01,0.041415548950160544,0.04617198629035145
2013-06-01,0.23804082055085427,0.23791341565711968
2013-07-01,0.19574523005442684,0.19712110415318662
2013-08-01,0.2387290682696364,0.23870374652659174
2013-09-01,0.0376944691933479,0.036222901102769246
2013-10-01,0.05352310485390333,0.052156831790273896
2013-11-01,0.18444894273522938,0.18402538327809673
2013-12-01,0.26441691584792815,0.2660468732759929
2014-01-01,0.24241752904537633,0.24259610452685137
2014-02-01,0.11007786202440674,0.10909142085313091
2014-03-01,0.20420553010651574,0.2050113852009993
2014-04-01,0.18641856050976907,0.1862906516113779
2014-05-01,0.19030059035472752,0.19061354852493026
2014-06-01,0.13211322060796907,0.13037072325604718
2014-07-01,0.11254852864928948,0.11106811466151312
2014-08-01,-0.01600013473796937,-0.021938900545354332
2014-09-01,0.007159100480079132,-0.0008960855929842009
2014-10-01,-0.019791390324114352,-0.0204627576043096
2014-11-01,-0.18826601524660014,-0.1508872795831534
2014-12-01,-0.30846094445592914,-0.3312010112960565
2015-01-01,-0.6370316441765553,-0.49469620651932983
2015-02-01,0.25346436802174205,0.2515570394407602
2015-03-01,0.26939517808125457,0.2681113249461592
2015-04-01,0.1042478896158971,0.10542243522045554
2015-05-01,0.3297745341246778,0.327779928821601
2015-06-01,0.276792081046074,0.27575117896710905
2015-07-01,0.15863197801873336,0.16145155883622356
2015-08-01,-0.0004201080517929266,0.0
2015-09-01,-0.2247587519377551,-0.20649772088435087
2015-10-01,0.09894820166907244,0.10322967520974574
2015-11-01,0.11946174910508504,0.12314353828351748
2015-12-01,-0.10755534268560658,-0.10177977248807267
2016-01-01,-0.04584435630738804,-0.052419655306215826
2016-02-01,-0.1329675323582272,-0.1379110331427291
2016-03-01,0.3134796238244513,0.31660419979062177
2016-04-01,0.38306451612902287,0.3897512702330589
2016-05-01,0.2364095869317792,0.2368570997689651
2016-06-01,0.27759572878272,0.2759057345011706
2016-07-01,-0.05037007434789874,-0.05272307791452515
2016-08-01,0.18492217858317475,0.1852579417972207
2016-09-01,0.2623209794425161,0.262552064059584
2016-10-01,0.23426874979269335,0.22969258508227994
2016-11-01,0.11789477167712409,0.12307144610507374
2016-12-01,0.25245221587762884,0.25282292913756926
