Date,Inflacion
1992-03-01,0.36075036075036077
1992-04-01,0.2156721782890089
1992-05-01,0.21520803443327327
1992-06-01,0.2863278453829676
1992-07-01,0.2855103497501825
1992-08-01,0.21352313167260595
1992-09-01,0.2130681818181697
1992-10-01,0.42523033309709024
1992-11-01,0.282286520818635
1992-12-01,0.14074595355384734
1993-01-01,0.35137034434293746
1993-02-01,0.2100840336134334
1993-03-01,0.13976240391335923
1993-04-01,0.3489183531053733
1993-05-01,0.27816411682891323
1993-06-01,0.06934812760057056
1993-07-01,0.1386001386001307
1993-08-01,0.20761245674741272
1993-09-01,0.13812154696131812
1993-10-01,0.41379310344827197
1993-11-01,0.27472527472527863
1993-12-01,0.2054794520548023
1994-01-01,0.0
1994-02-01,0.2734107997265737
1994-03-01,0.2726653033401539
1994-04-01,0.06798096532970382
1994-05-01,0.20380434782609472
1994-06-01,0.27118644067796993
1994-07-01,0.3380662609871535
1994-08-01,0.40431266846360797
1994-09-01,0.20134228187920225
1994-10-01,0.06697923643670081
1994-11-01,0.2677376171352113
1994-12-01,0.20026702269691785
1995-01-01,0.2664890073284515
1995-02-01,0.26578073089701376
1995-03-01,0.1988071570576428
1995-04-01,0.3968253968254119
1995-05-01,0.19762845849801247
1995-06-01,0.1972386587771278
1995-07-01,0.13123359580051747
1995-08-01,0.19659239842726825
1995-09-01,0.1308044473512025
1995-10-01,0.26126714565643744
1995-11-01,0.1302931596091131
1995-12-01,0.13012361743657586
1996-01-01,0.5198180636777017
1996-02-01,0.1939237233354954
1996-03-01,0.3225806451612903
1996-04-01,0.3858520900321507
1996-05-01,0.19218449711723984
1996-06-01,0.1918158567774827
1996-07-01,0.19144862795150694
1996-08-01,0.1273885350318399
1996-09-01,0.31806615776081426
1996-10-01,0.31705770450221943
1996-11-01,0.31605562579013907
1996-12-01,0.2520478890989324
1997-01-01,0.18856065367693992
1997-02-01,0.188205771643653
1997-03-01,0.06261740763933797
1997-04-01,0.06257822277846953
1997-05-01,0.0
