Date,CPI,Expec. Inflacion,Senti. Inflacion,Indice Ind. Manuf,Ventas Minoristas Mensuales,PPI Mat. Construccion,Tasa Interes,Tasa Desempleo,Tasa USD Circulante
1992-04-01,0.002154399397026552,3.0,-0.08386347860263399,0.005781131237165837,0.8,0.0008146639961763569,-0.01990115431729489,0.0,-0.12618481673856266
1992-05-01,0.0021497679364923528,2.9,0.009910725045250146,0.005929702515890867,0.7,-0.0008146639961763569,-0.06487358564062218,0.0,-0.03232062055591467
1992-06-01,0.002859187080045622,3.1,-0.010538964425109043,0.00334656174552439,0.5,-0.000815328214754274,0.02384218896275958,0.026668247082160867,-0.1498985980072304
1992-07-01,0.0028510354308393104,2.7,-0.06345497680291601,0.009302992891365491,0.6,-0.0016326534238855217,-0.015831465216680662,0.025975486403261083,0.005887201224537854
1992-08-01,0.0021329549501416523,2.8,0.041868287559470474,-0.0045720213006221755,0.2,0.0,-0.14576396106015688,-0.012903404835908017,0.14422793901218578
1992-09-01,0.0021284151348259783,3.0,-4.3169803247700145e-05,0.0016777348734633435,1.0,0.00488998529419149,0.015267472130788384,-0.013072081567353067,0.34388501895776385
1992-10-01,0.004243287837866205,2.8,-0.0243036926107294,0.0062907630153699046,0.6,-0.0032573318703059684,-0.024541108916117604,0.0,0.39543057996485065
1992-11-01,0.0028188884064199726,2.9,0.1825095198979101,0.003989987751211288,0.0,0.000815328214754274,-0.03797924806521635,-0.04027389913793966,0.07585703865791393
1992-12-01,0.0014064699927516244,2.8,-0.08692879358581163,-0.0009436454686895246,1.3,0.008116927681577124,-0.003231020581446531,0.013605652055778794,-0.04081513658493922
1993-01-01,0.003507544809678187,2.9,-0.08354307065361244,0.009229654601772275,1.2,0.012053179267555336,-0.056587474629463674,0.0,-0.16332720856301222
1993-02-01,0.0020986366569202275,3.2,-0.011843653679668442,0.0025145188994022405,-0.8,0.017419284472064867,0.03367321510658794,-0.013605652055778794,-0.1197744734305162
1993-03-01,0.001396648271721368,3.1,0.022585685735885264,-0.0019424082249548391,-1.0,0.014029848210438622,0.0033057881344993323,-0.027779564107075716,-0.07897045919859608
1993-04-01,0.0034831104528203483,3.0,0.00461744073566539,0.005219749894805226,2.7,0.0023192897910915278,0.01311494207782804,-0.014184634991956546,-0.02049000380528642
1993-05-01,0.0027777795639023495,2.9,-0.06041711635246649,-0.0009998226954062162,1.0,-0.007751976804318161,-0.03648829326313674,0.014184634991956546,0.7407190537533669
1993-06-01,0.0006932409289763797,3.5,0.07874906148908156,-0.0017310876584168966,-0.3,-0.00624514129678122,0.013423020332140823,0.0,0.17437298381237468
1993-07-01,0.0013850417726617437,3.0,-0.07163099768723402,0.002577776550849009,1.7,-0.0023520199004307685,0.013245226750020489,-0.014184634991956546,-0.01740694537120311
1993-08-01,0.002073972399129431,3.2,0.060686132132825144,-0.0014922667069772189,-0.2,0.006259801348506677,0.0065574005461590534,-0.014388737452099454,0.11026318080259989
1993-09-01,0.001380262468957838,3.0,0.0038434635436335185,0.007408716168712637,0.5,0.006995753366027202,-0.009852296443011666,-0.01459879942115272,0.1912988029332483
1993-10-01,0.004129393342011234,3.3,0.05206165186961709,0.008586346117507304,0.9,0.0015479879252149331,0.019608471388376403,-0.01481508578514057,0.1272890328926433
1993-11-01,0.002743485945750912,2.8,-0.07809800401495615,0.00467615005418498,1.2,0.007704198352987746,-0.032897703507059006,0.01481508578514057,0.39004940625812606
1993-12-01,0.002052686317742136,3.0,0.10099607070712668,0.006577648913626888,0.9,0.008406621919711199,0.009983443984183271,-0.029852963149681333,0.1295113106544638
1994-01-01,0.0,2.8,-0.015817489218447278,0.00127175542917346,-0.4,0.008336539375766172,-0.020067563050809367,-0.015267472130788384,0.014371532867695668
1994-02-01,0.002730377122857064,2.8,-0.07860769457453198,0.0015020408939401264,1.3,-0.0007550019233688587,0.029952322283351318,0.015267472130788384,0.028738935509828718
1994-03-01,0.002722942458456501,3.0,-0.006675281462204197,0.013400793615367057,1.8,0.002263297835254363,0.06351340572232589,0.0,0.15227259667873355
1994-04-01,0.0006795786873841081,3.0,0.030358918780727606,0.009008764929531843,0.2,-0.004531729809882812,0.027315810646962868,-0.015267472130788384,0.09179838779081442
1994-05-01,0.0020359694850986543,3.1,-0.00979267123063643,0.00663903360344964,-0.4,0.0022684319746284487,0.06378973787533004,-0.015504186535965081,0.27227651829984806
1994-06-01,0.0027081939368791552,2.7,-0.019549240851890026,0.0036018338240682013,1.1,0.006774583681755431,0.11903069645453868,-0.04800921918636081,-0.32584462356371124
1994-07-01,0.0033749610165259014,2.9,-0.007026784636277483,0.004322961896561672,0.3,0.0007499062968605585,0.05812774161784762,0.0,0.24661619637531543
1994-08-01,0.004034975212179326,3.1,0.05430453687842629,0.008317781778984568,1.4,0.005233656806108655,0.0023501773449536856,0.0,-0.0829566908862063
1994-09-01,0.0020113985996852435,3.4,-0.032069416511223636,0.0037945378246302397,0.8,0.006688988150797215,0.04811924834419834,-0.016529301951210496,0.002862950556843883
1994-10-01,0.0006695681535724418,3.0,0.015212907271276777,0.010169035829666662,1.0,0.0022197567383130945,0.0565367938783643,-0.016807118316381153,-0.04580589750930432
1994-11-01,0.002673798384402737,3.2,-0.02496670118205735,0.008199684192969237,0.1,0.008830079448271633,0.0063224657394869155,-0.017094433359300165,0.08878959729621355
1994-12-01,0.002000667556296243,3.0,0.04943489876298379,0.011144172516333484,0.5,0.0,0.10557057762687938,-0.035091319811270116,-0.031478036915152385
